# q	Energy	Moment
0.000000	0.0000000	4.4165823
0.020833	-0.1632684	4.4171018
0.041667	-0.1741528	4.4185627
0.0625	-0.1224512	4.4195440
0.083333	-0.6503521	4.4186000
0.104167	-0.9850521	4.4242558
0.125	-1.1973010	4.4183670
0.145833	-1.9129605	4.4168383
0.166667	-3.0313484	4.4197196
0.1875	-3.9021126	4.4234066
0.208333	-4.5579071	4.4262098
0.229167	-4.9633566	4.4293858
0.25	-5.0395485	4.4389267
0.270833	-4.1279671	4.4436405
0.291667	-2.4871207	4.4514678
0.3125	-0.2530658	4.4571062
0.333333	1.7986726	4.4680163
0.354167	3.5157110	4.4771221
0.375	5.1375094	4.4831863
0.395833	6.7946829	4.4892594
0.416667	7.8205520	4.4940661
0.4375	8.8137676	4.4980205
0.458333	9.5566383	4.5011832
0.479167	9.8369158	4.5030356
0.5	9.8450790	4.5042373
