#q	Energy	Moment
0.000000	0.0000000	4.3655232
0.020833	-0.0435383	4.3664047
0.041667	-0.2557870	4.3674965
0.0625	-0.7972937	4.3689700
0.083333	-0.9279084	4.3713993
0.104167	-1.5945872	4.3683316
0.125	-2.8245419	4.3689596
0.145833	-3.3932598	4.3727178
0.166667	-3.7361233	4.3737578
0.1875	-4.5932819	4.3795884
0.208333	-4.6177722	4.3867649
0.229167	-3.5320377	4.3920739
0.25	-1.7224807	4.3925135
0.270833	0.7755244	4.3976684
0.291667	3.9783045	4.4075359
0.3125	7.6572837	4.4196060
0.333333	11.8859330	4.4303162
0.354167	15.5213740	4.4386113
0.375	18.9091913	4.4465547
0.395833	22.2697974	4.4549211
0.416667	24.7378700	4.4594173
0.4375	26.7351857	4.4639450
0.458333	28.7678762	4.4666885
0.479167	30.3080406	4.4694941
0.5	30.5556643	4.4714978
