# q	Energy	Moment
0.000000	0.0000000	4.3866485
0.020833	-0.2639505	4.3832564
0.041667	-0.3537481	4.3868959
0.0625	-0.7972937	4.3896235
0.083333	-1.1374360	4.3924069
0.104167	-1.6544523	4.3925902
0.125	-2.4871207	4.3903841
0.145833	-3.0857712	4.3936266
0.166667	-3.3089045	4.3979356
0.1875	-3.7061908	4.4003320
0.208333	-3.5075475	4.4089050
0.229167	-2.3347370	4.4137131
0.25	-0.2911619	4.4202611
0.270833	2.5769182	4.4230959
0.291667	5.4994208	4.4308920
0.3125	8.3294048	4.4410922
0.333333	11.1920426	4.4520393
0.354167	14.2886982	4.4590618
0.375	17.0207213	4.4667565
0.395833	19.5241688	4.4744672
0.416667	21.6031186	4.4788868
0.4375	23.2113114	4.4828698
0.458333	24.6344668	4.4849338
0.479167	25.9787093	4.4885533
0.5	26.1637466	4.4899264
