#q	Energy	Moment
0.000000	0.0000000	4.1829897
0.020833	-0.0761921	4.1848789
0.041667	-0.2421814	4.1867520
0.0625	-0.5088530	4.1902564
0.083333	-0.2884407	4.1959304
0.104167	-0.3564693	4.2025157
0.125	-0.3156521	4.2108670
0.145833	0.4598723	4.2169154
0.166667	1.5401642	4.2246550
0.1875	3.3714905	4.2341871
0.208333	5.7878615	4.2408746
0.229167	8.9906416	4.2481432
0.25	13.2301754	4.2556131
0.270833	18.8466053	4.2602689
0.291667	24.9310709	4.2676618
0.3125	31.4237074	4.2746543
0.333333	38.5830228	4.2837029
0.354167	44.7110267	4.2909461
0.375	50.3465045	4.2981103
0.395833	55.3343513	4.3048403
0.416667	59.3398672	4.3100270
0.4375	62.7195212	4.3127733
0.458333	65.9331859	4.3157283
0.479167	67.8080504	4.3182978
0.5	68.1209813	4.3209155
