#q	Energy	Moment
0.000000	0.0000000	4.1823645
0.020833	-0.0707497	4.1826638
0.041667	-0.3374212	4.1826492
0.0625	-0.4353823	4.1892065
0.083333	-0.3510270	4.1906404
0.104167	-0.3129309	4.1978432
0.125	-0.0517016	4.2074572
0.145833	0.7700821	4.2123384
0.166667	2.0163635	4.2213135
0.1875	3.9592564	4.2303822
0.208333	6.4354925	4.2372465
0.229167	9.6056188	4.2448391
0.25	14.1254298	4.2515989
0.270833	19.8098883	4.2559606
0.291667	25.9705459	4.2624718
0.3125	32.6944790	4.2701511
0.333333	39.7503912	4.2788752
0.354167	46.0471058	4.2861628
0.375	51.7397275	4.2926406
0.395833	56.5370946	4.2995423
0.416667	60.7222056	4.3050116
0.4375	64.2324743	4.3079410
0.458333	67.4053218	4.3107815
0.479167	69.3182823	4.3130915
0.5	69.6829148	4.3156650
