#q	Energy	Moment
0.000000	0.0000000	4.3708062
0.020833	-0.2829984	4.3674868
0.041667	-0.5360642	4.3699127
0.0625	-0.9605619	4.3723637
0.083333	-1.2571659	4.3745463
0.104167	-1.9809887	4.3717697
0.125	-2.9878101	4.3721632
0.145833	-3.6980271	4.3763546
0.166667	-4.2259280	4.3783545
0.1875	-4.9252606	4.3823689
0.208333	-5.0558752	4.3894375
0.229167	-3.9837466	4.3961191
0.25	-2.2531026	4.3968742
0.270833	0.1904798	4.4004611
0.291667	3.1320305	4.4102212
0.3125	7.0014894	4.4226369
0.333333	10.9933997	4.4331241
0.354167	14.6506098	4.4420559
0.375	18.0357061	4.4495524
0.395833	21.2248804	4.4581418
0.416667	23.6494149	4.4625301
0.4375	25.7202012	4.4672422
0.458333	27.5379217	4.4698132
0.479167	29.2059796	4.4728680
0.5	29.5406796	4.4748437
