# q	Energy	Moment
0.000000	0.0000000	4.1446576
0.020833	-0.2476237	4.1438667
0.041667	-0.1034033	4.1387723
0.0625	-0.1251723	4.1372201
0.083333	-0.1986430	4.1394257
0.104167	-0.0707495	4.1411755
0.125	0.2340179	4.1461012
0.145833	0.4598723	4.1521302
0.166667	1.3524058	4.1604125
0.1875	2.9986947	4.1692275
0.208333	4.7483866	4.1788737
0.229167	7.4287081	4.1862906
0.25	10.8246890	4.1969547
0.270833	14.7812243	4.2059756
0.291667	19.9078492	4.2149440
0.3125	25.7664605	4.2247448
0.333333	32.1529725	4.2341756
0.354167	38.3680528	4.2423919
0.375	44.1504722	4.2511419
0.395833	49.4322021	4.2579100
0.416667	54.2458961	4.2657744
0.4375	57.9003851	4.2705974
0.458333	60.2160739	4.2746651
0.479167	61.6147391	4.2767837
0.5	62.3276775	4.2767875
