# q	Energy	Moment
0.000000	0.0000000	4.3294007
0.020833	-0.0816342	4.3280324
0.041667	-0.1442203	4.3252352
0.0625	-0.6394675	4.3270813
0.083333	-0.4353821	4.3236469
0.104167	-1.4694147	4.3250471
0.125	-1.5374433	4.3283931
0.145833	-2.4952840	4.3340081
0.166667	-2.8463108	4.3365466
0.1875	-3.3470003	4.3430024
0.208333	-3.2980198	4.3456568
0.229167	-3.1918954	4.3519939
0.25	-2.7075328	4.3645152
0.270833	-0.1687105	4.3685880
0.291667	2.6585524	4.3763634
0.3125	6.7402601	4.3782384
0.354167	13.6846056	4.3994034
0.375	17.1622206	4.4094412
0.395833	20.1255404	4.4154970
0.416667	22.4766041	4.4236030
0.4375	24.9446767	4.4308160
0.458333	26.0984393	4.4338387
0.479167	26.5229370	4.4361654
0.5	27.1297510	4.4359707
