# q	Energy	Moment
0.000000	0.0000000	4.3056444
0.020833	-0.0408170	4.3046838
0.041667	-0.1224512	4.3043515
0.0625	-0.2802772	4.3033425
0.083333	-0.6122561	4.3047929
0.104167	-0.5659968	4.3077925
0.125	-0.8544375	4.3048349
0.145833	-1.6435675	4.3063075
0.166667	-1.7578554	4.3138524
0.1875	-1.9075180	4.3200311
0.208333	-1.7034326	4.3279267
0.229167	-0.9986577	4.3350644
0.25	0.6993326	4.3411091
0.270833	2.8871280	4.3451837
0.291667	5.6518047	4.3491454
0.3125	9.4804467	4.3583341
0.333333	12.7947933	4.3690322
0.354167	15.8125359	4.3795682
0.375	18.8874224	4.3877954
0.395833	22.0793179	4.3942305
0.416667	24.5120158	4.4029814
0.4375	26.2671500	4.4081437
0.458333	27.8617373	4.4103291
0.479167	28.4032438	4.4127256
0.5	28.6944056	4.4132801
