# q	Energy	Moment
0.000000	0.0000000	4.2352926
0.020833	0.0217693	4.2346519
0.041667	-0.0625861	4.2382863
0.0625	-0.0081633	4.2336573
0.083333	-0.0217691	4.2256703
0.104167	-0.3510268	4.2324605
0.125	-0.1170089	4.2350258
0.145833	0.1523839	4.2443567
0.166667	0.7292651	4.2484900
0.1875	1.7115963	4.2549736
0.208333	3.6490468	4.2626456
0.229167	6.1334464	4.2747861
0.25	9.4423506	4.2836294
0.270833	13.7036535	4.2911309
0.291667	19.2112380	4.3008525
0.3125	24.7732451	4.3114995
0.333333	29.6985057	4.3191931
0.354167	34.6536990	4.3280520
0.375	38.8252042	4.3344577
0.395833	42.5422794	4.3395322
0.416667	45.8947220	4.3435775
0.4375	48.9750509	4.3465859
0.458333	50.9478763	4.3500800
0.479167	52.4417814	4.3512667
0.5	52.8662789	4.3529339
