# q	Energy	Moment
0.000000	0.0000000	4.0297036
0.020833	0.0408170	4.0305594
0.041667	0.6122561	4.0333655
0.0625	1.5374431	4.0363511
0.083333	2.6966482	4.0415046
0.104167	4.5334166	4.0443327
0.125	7.0967292	4.0483285
0.145833	9.9022230	4.0525918
0.166667	13.3880014	4.0578520
0.1875	17.5894392	4.0690895
0.208333	22.5010942	4.0755626
0.229167	28.2018794	4.0831734
0.25	34.5720646	4.0906146
0.270833	41.8674369	4.0965661
0.291667	50.3573891	4.1022012
0.3125	60.0800170	4.1074272
0.333333	70.2434693	4.1145403
0.354167	80.1674613	4.1219479
0.375	89.2996022	4.1293706
0.395833	97.4875079	4.1376825
0.416667	104.3692674	4.1444835
0.4375	109.3299028	4.1506254
0.458333	112.9599015	4.1540013
0.479167	115.2565425	4.1564222
0.5	116.1436336	4.1581789
