# q	Energy	Moment
0.000000	0.0000000	4.1155605
0.020833	-0.0598649	4.1176342
0.041667	0.0027212	4.1149969
0.0625	-0.0897975	4.1207044
0.083333	0.1061244	4.1244932
0.104167	0.7020537	4.1298568
0.125	1.4041075	4.1339999
0.145833	2.5197742	4.1387895
0.166667	3.7578924	4.1489484
0.1875	5.5157478	4.1592744
0.208333	8.2640976	4.1677804
0.229167	11.7852509	4.1782585
0.25	15.8996124	4.1861168
0.270833	21.2793032	4.1951764
0.291667	27.8018722	4.2009651
0.3125	35.3203779	4.2100736
0.333333	43.5354950	4.2181473
0.354167	50.9397128	4.2301602
0.375	57.6582039	4.2381474
0.395833	63.8705631	4.2457043
0.416667	69.2801864	4.2534472
0.4375	72.7197054	4.2603395
0.458333	75.5959489	4.2624161
0.479167	76.9891717	4.2652875
0.5	77.4381596	4.2672013
