# Volume	Energy	in-plane	c	z_Au
34.818690	-15.5920778800	2.9643738190935478	7.9245838016	2.69570115582
37.305894	-16.9800849000	3.0460518263455505	8.04142242604	2.73203771391
39.792797	-17.8529371100	3.1207082092710969	8.1719959444	2.77375721816
42.279983	-18.3558167700	3.1883702765041195	8.3181604789	2.82288227260
44.766790	-18.5934743600	3.2517034197183858	8.46767329436	2.87524683447
45.432960	-18.6223355200	3.2687499522999999	8.50429014620	2.88797200124
46.145408	-18.6396445600	3.2872800827000002	8.5405190002	2.90041138456
46.669994	-18.6443241300	3.3011999130000000	8.5648950052	2.90864699431
47.254016	-18.6418216400	3.3170577763440763	8.5893963615	2.91678517598
48.222093	-18.6217037500	3.3441700934999998	8.6238338118	2.92787776570
49.180408	-18.5845087100	3.3715400696000000	8.6529800126	2.93700316347
49.741042	-18.5557551100	3.3875398812304289	8.6691403729	2.94206570213
52.228134	-18.3764044600	3.4579465160685112	8.73570497892	2.96309650676
54.715203	-18.1332512000	3.5329017313896194	8.76748206226	2.97005370577
57.202191	-17.8486424700	3.6184135396018422	8.73788357414	2.94908844003
