# q	Energy	Moment
0.000000	0.0000000	4.4023738
0.020833	-0.0952398	4.4044462
0.041667	-0.3727960	4.4053477
0.0625	-0.4843626	4.4066387
0.083333	-0.8680433	4.4094537
0.104167	-1.5700970	4.4071774
0.125	-1.7115961	4.4119019
0.145833	-2.4027654	4.4137870
0.166667	-3.3660484	4.4149269
0.1875	-4.1089191	4.4182861
0.208333	-4.3864752	4.4213856
0.229167	-4.6585892	4.4261581
0.25	-4.0708231	4.4327136
0.270833	-2.6367833	4.4397853
0.291667	-0.3292577	4.4450757
0.3125	2.3320156	4.4549840
0.333333	4.5851184	4.4612929
0.354167	6.5361748	4.4689267
0.375	8.5879132	4.4747708
0.395833	10.3212783	4.4818491
0.416667	11.8777695	4.4883549
0.4375	13.2519445	4.4932560
0.458333	14.0982186	4.4975501
0.479167	14.2043431	4.4994529
0.5	14.8791854	4.4994071
