# q	Energy	Moment
0.000000	0.0000000	4.5605913
0.020833	-0.0136056	4.5642809
0.041667	-0.3564691	4.5653231
0.0625	-0.7591975	4.5614212
0.083333	-1.1673684	4.5632133
0.104167	-1.8503740	4.5611437
0.125	-2.7837245	4.5589924
0.145833	-3.5102687	4.5566310
0.166667	-4.7238964	4.5529683
0.1875	-6.2123592	4.5542498
0.208333	-7.3851699	4.5544687
0.229167	-8.9879204	4.5504361
0.25	-10.9825149	4.5520740
0.270833	-12.5362849	4.5545688
0.291667	-13.1839159	4.5579406
0.3125	-13.0315321	4.5637161
0.333333	-12.1580468	4.5716376
0.354167	-10.5933921	4.5797032
0.375	-9.1647944	4.5870715
0.395833	-8.1851846	4.5935954
0.416667	-7.2980934	4.5989496
0.4375	-6.7701925	4.6049915
0.458333	-6.0980713	4.6079461
0.479167	-5.4449980	4.6116458
0.5	-5.6191508	4.6134360
