#q	Energy	Moment
0.000000	0.0000000	4.1779791
0.020833	-0.2258546	4.1796978
0.041667	-0.3428635	4.1752612
0.083333	-0.0925188	4.1821713
0.104167	-0.0870765	4.1812135
0.125	0.2557870	4.1804796
0.145833	0.9442349	4.1809010
0.166667	1.3061463	4.1904133
0.1875	2.2966408	4.2003793
0.208333	4.3102833	4.2087682
0.229167	6.8001250	4.2137304
0.25	9.9294344	4.2253937
0.270833	14.2070640	4.2338678
0.291667	19.7609078	4.2422995
0.3125	26.2698710	4.2505449
0.333333	33.1135344	4.2606371
0.354167	39.3503838	4.2711899
0.375	45.0130730	4.2799383
0.395833	50.3737159	4.2870348
0.416667	54.9642766	4.2954696
0.4375	58.0037883	4.3016888
0.458333	60.3249195	4.3041115
0.479167	61.5358261	4.3062707
0.5	62.0093042	4.3076842
