#q	Energy	Moment
0.000000	0.0000000	4.3733846
0.020833	-0.0870763	4.3711626
0.041667	-0.3564691	4.3728497
0.0625	-0.9605619	4.3740963
0.083333	-1.2081854	4.3795706
0.104167	-1.7224807	4.3747391
0.125	-3.0177426	4.3772412
0.145833	-3.5565280	4.3815210
0.166667	-4.1959955	4.3834960
0.1875	-5.0531541	4.3865110
0.208333	-5.0558752	4.3938749
0.229167	-4.3102833	4.4010957
0.25	-2.4843994	4.4022087
0.270833	-0.1795951	4.4054726
0.291667	2.7918882	4.4145161
0.3125	6.3130413	4.4267356
0.333333	10.4791044	4.4373867
0.354167	13.9295080	4.4463374
0.375	17.2302491	4.4538202
0.395833	20.3731641	4.4625010
0.416667	22.7432756	4.4669541
0.4375	24.7378702	4.4716642
0.458333	26.7379070	4.4742874
0.479167	28.2835136	4.4771421
0.5	28.5692331	4.4793214
