# q	Energy	Moment
0.000000	0.0000000	4.2320698
0.020833	-0.2176912	4.2314649
0.041667	-0.2612293	4.2364818
0.0625	-0.2802772	4.2347037
0.083333	-0.3401423	4.2334790
0.104167	-0.5932082	4.2357905
0.125	-0.4843628	4.2437673
0.145833	-0.2802772	4.2470728
0.166667	-0.2394602	4.2480644
0.1875	0.1823163	4.2574776
0.208333	1.4449245	4.2667733
0.229167	3.2925775	4.2731153
0.25	5.5538436	4.2776046
0.270833	8.8954018	4.2868427
0.291667	13.2274542	4.2918727
0.3125	18.5255108	4.3020535
0.333333	24.2045270	4.3126917
0.354167	29.3093829	4.3235981
0.375	33.9761353	4.3320798
0.395833	38.4170333	4.3391215
0.416667	42.0660801	4.3469298
0.4375	44.6756520	4.3546009
0.458333	46.8443993	4.3566142
0.479167	47.5301263	4.3588825
0.5	48.0417002	4.3605732
