# q	Energy	Moment
0.000000	0.0000000	4.0412272
0.020833	-0.1251725	4.0428465
0.041667	0.1523837	4.0470675
0.0625	0.4217763	4.0531456
0.083333	1.3007042	4.0619025
0.104167	2.2966408	4.0637421
0.125	3.6163929	4.0696579
0.145833	5.6218720	4.0793964
0.166667	8.1770211	4.0853346
0.1875	11.0342165	4.0933553
0.208333	14.6206770	4.1037480
0.229167	18.9010280	4.1105021
0.25	23.8752691	4.1181912
0.270833	29.7066690	4.1248531
0.291667	36.5829861	4.1329483
0.3125	44.1994527	4.1386877
0.333333	52.1887152	4.1464355
0.354167	59.8351144	4.1536309
0.375	67.2039576	4.1631252
0.395833	74.0585054	4.1703672
0.416667	80.0123564	4.1764162
0.4375	84.0913430	4.1825346
0.458333	87.2342582	4.1857193
0.479167	89.2914387	4.1882812
0.5	90.0343096	4.1886842
