#q	Energy	Moment
0.000000	0.0000000	4.2106419
0.020833	-0.1414993	4.2098448
0.041667	-0.3428635	4.2074119
0.0625	-0.5442277	4.2049808
0.083333	-0.7292651	4.2068639
0.104167	-0.9850521	4.2070308
0.125	-1.1319935	4.2100952
0.145833	-0.7918514	4.2128284
0.166667	-0.4027286	4.2236702
0.1875	0.6204196	4.2344613
0.208333	2.3864384	4.2397427
0.229167	5.0749233	4.2529140
0.25	8.2341651	4.2610003
0.270833	12.4900258	4.2693430
0.291667	18.1064557	4.2762154
0.3125	24.6317458	4.2838809
0.333333	31.0481904	4.2934457
0.354167	36.8496577	4.3017832
0.375	42.1749257	4.3089928
0.395833	46.9886197	4.3159980
0.416667	50.8444731	4.3211916
0.4375	54.5506636	4.3237153
0.458333	57.3752053	4.3283103
0.479167	59.2908869	4.3301178
0.5	59.6419137	4.3321725
