# q	Energy	Moment
0.000000	0.0000000	4.2173726
0.020833	-0.0707495	4.2161799
0.041667	-0.0625861	4.2148196
0.0625	-0.2367391	4.2050424
0.083333	-0.4272186	4.2100548
0.104167	-0.6068138	4.2113722
0.125	-0.3727958	4.2187561
0.145833	0.3238156	4.2278557
0.166667	0.9061391	4.2311548
0.1875	2.3156889	4.2437611
0.208333	4.4871575	4.2506542
0.229167	7.1674790	4.2604981
0.25	10.9199288	4.2697236
0.270833	15.4887203	4.2770313
0.291667	21.1078713	4.2852403
0.3125	27.1324721	4.2960355
0.333333	32.4142020	4.3029453
0.354167	37.4864040	4.3119065
0.375	42.0443110	4.3182263
0.395833	45.9001644	4.3238456
0.416667	49.5056728	4.3278663
0.4375	52.6839626	4.3308130
0.458333	54.8146141	4.3351062
0.479167	56.2758655	4.3361581
0.5	56.7330167	4.3379235
