#q	Energy	Moment
0.000000	0.0000000	4.1655303
0.020833	-0.1986432	4.1675904
0.041667	-0.2204123	4.1671750
0.0625	-0.3836805	4.1741561
0.083333	0.0435382	4.1802840
0.104167	0.3891228	4.1870666
0.125	0.8462740	4.1910708
0.145833	1.8830277	4.2003875
0.166667	3.4993840	4.2088025
0.1875	5.7361599	4.2158168
0.208333	8.5960765	4.2235565
0.229167	12.3185940	4.2291296
0.25	17.1050766	4.2374715
0.270833	23.2113114	4.2408162
0.291667	29.6604096	4.2456610
0.3125	36.5721014	4.2540503
0.333333	43.8184934	4.2629451
0.354167	50.4254175	4.2706471
0.375	56.2268848	4.2751270
0.395833	61.2882026	4.2830615
0.416667	65.6284185	4.2877170
0.4375	69.0951488	4.2915824
0.458333	72.4367070	4.2940448
0.479167	74.2408219	4.2953139
0.5	74.6217812	4.2984255
