#q	Energy	Moment
0.000000	0.0000000	4.1726521
0.020833	-0.5523912	4.1735243
0.041667	-0.5170163	4.1759355
0.0625	-0.4326611	4.1793085
0.083333	-0.4598725	4.1869547
0.104167	-0.3074886	4.1929504
0.125	0.3619114	4.1984718
0.145833	1.0694075	4.2065909
0.166667	2.5333798	4.2134155
0.1875	4.8735590	4.2214164
0.208333	7.3987755	4.2297178
0.229167	10.7593816	4.2361060
0.25	15.8098147	4.2431601
0.270833	21.2929088	4.2472737
0.291667	27.8100354	4.2527455
0.3125	34.8713900	4.2610909
0.333333	41.7885241	4.2694539
0.354167	48.2267377	4.2769853
0.375	54.3248090	4.2822821
0.395833	59.0214942	4.2897611
0.416667	63.1848361	4.2950136
0.4375	66.9508918	4.2984449
0.458333	69.8842790	4.3010270
0.479167	71.7809126	4.3028695
0.5	72.4312647	4.3056109
