# q	Energy	Moment
0.000000	0.0000000	4.4121875
0.020833	-0.0462593	4.4149491
0.041667	-0.3047675	4.4138939
0.0625	-0.3918440	4.4124357
0.083333	-1.4095496	4.4103100
0.104167	-1.5864238	4.4136922
0.125	-1.9945945	4.4158368
0.145833	-2.8871280	4.4099715
0.166667	-4.1851110	4.4147323
0.1875	-5.1429517	4.4187515
0.208333	-6.3919543	4.4174968
0.229167	-7.0368641	4.4223825
0.25	-7.3144202	4.4311873
0.270833	-6.4354925	4.4384959
0.291667	-4.9715199	4.4427325
0.3125	-2.4544668	4.4516490
0.333333	0.2884407	4.4593640
0.354167	2.7891670	4.4670522
0.375	4.8300210	4.4738939
0.395833	6.8953650	4.4839085
0.416667	8.9334978	4.4902563
0.4375	10.1607313	4.4957222
0.458333	11.7961356	4.5005504
0.479167	11.7090591	4.5027026
0.5	11.9349135	4.5030436
