# q	Energy	Moment
0.000000	0.0000000	4.1815792
0.020833	-0.3183731	4.1836551
0.041667	-0.1442203	4.1831441
0.0625	0.0571439	4.1815024
0.083333	-0.0979609	4.1794687
0.104167	-0.1904796	4.1731543
0.125	-0.2911617	4.1799681
0.145833	-0.4979682	4.1810862
0.166667	-0.2068065	4.1885108
0.1875	1.0585230	4.2014832
0.208333	2.0544596	4.2058104
0.229167	3.8749012	4.2176062
0.25	6.8110097	4.2245385
0.270833	10.1498467	4.2359542
0.291667	14.4220342	4.2430485
0.3125	19.6384566	4.2536141
0.333333	25.4290393	4.2633328
0.354167	31.4155441	4.2732283
0.375	36.6292456	4.2817825
0.395833	41.6116501	4.2894055
0.416667	46.1831627	4.2954882
0.4375	49.5655379	4.3016861
0.458333	51.8757845	4.3058942
0.479167	52.9152594	4.3080753
0.5	53.5628903	4.3084273
