# q	Energy	Moment
0.000000	0.0000000	4.4376121
0.020833	-0.1823163	4.4420523
0.041667	-0.3319789	4.4454354
0.0625	-0.2911619	4.4406767
0.083333	-0.6013716	4.4426729
0.104167	-0.9224660	4.4400852
0.125	-1.3687328	4.4407347
0.145833	-2.2449393	4.4423789
0.166667	-2.7837247	4.4416230
0.1875	-3.7034696	4.4453845
0.208333	-4.8844436	4.4456815
0.229167	-5.8069096	4.4474900
0.25	-6.5280113	4.4492805
0.270833	-6.7239334	4.4547801
0.291667	-6.2967145	4.4630157
0.3125	-4.8082517	4.4713842
0.333333	-3.4014231	4.4793393
0.354167	-2.2231703	4.4853459
0.375	-1.1129456	4.4946668
0.395833	-0.5279009	4.5009269
0.416667	0.5578333	4.5056141
0.4375	1.3796172	4.5090764
0.458333	1.9374505	4.5111091
0.479167	2.2503815	4.5124700
0.5	2.8190994	4.5128445
