# q	Energy	Moment
0.000000	0.0000000	4.4144164
0.020833	0.0217693	4.4146450
0.041667	-0.0081633	4.4145629
0.0625	-0.3591902	4.4154100
0.083333	-0.6993326	4.4188000
0.104167	-1.0258691	4.4199958
0.125	-1.2734928	4.4152497
0.145833	-2.2177277	4.4169570
0.166667	-3.0884922	4.4209198
0.1875	-3.8422475	4.4210932
0.208333	-4.4191289	4.4228334
0.229167	-4.8926069	4.4279383
0.25	-4.7565501	4.4367396
0.270833	-3.7497287	4.4433668
0.291667	-1.8367684	4.4513598
0.3125	0.3836807	4.4558631
0.333333	2.4789572	4.4678345
0.354167	4.2449761	4.4743930
0.375	6.0191585	4.4798594
0.395833	7.7933408	4.4861259
0.416667	8.7348548	4.4922614
0.4375	9.9321555	4.4972056
0.458333	10.7457760	4.5001518
0.479167	11.0314956	4.5020948
0.5	10.9797939	4.5026703
