# q	Energy	Moment
0.000000	0.0000000	4.2101570
0.020833	0.0326537	4.2114069
0.041667	-0.1469414	4.2100450
0.0625	-0.5605544	4.2136736
0.083333	-0.5986505	4.2160075
0.104167	-0.3945651	4.2236633
0.125	-0.8353895	4.2156214
0.145833	-1.2571661	4.2159207
0.166667	-1.2898196	4.2235346
0.1875	-1.0449172	4.2288470
0.208333	-0.1877586	4.2380305
0.229167	1.1918586	4.2464309
0.25	3.1755687	4.2533847
0.270833	5.9783413	4.2630290
0.291667	9.4750044	4.2718522
0.3125	13.9295080	4.2815199
0.333333	19.5268899	4.2901716
0.354167	25.0099840	4.3023864
0.375	29.6277561	4.3104648
0.395833	34.6809102	4.3174535
0.416667	38.9585400	4.3233304
0.4375	41.7830817	4.3300776
0.458333	44.3409520	4.3352193
0.479167	45.3423309	4.3380980
0.5	45.6171660	4.3382483
