# q	Energy	Moment
0.000000	0.0000000	3.9479640
0.020833	0.1088456	3.9462284
0.041667	0.9387928	3.9485367
0.0625	2.4054865	3.9505513
0.083333	4.2640240	3.9480682
0.104167	7.0722390	3.9497773
0.125	10.7212858	3.9522471
0.145833	15.0152424	3.9516841
0.166667	20.2779241	3.9560484
0.1875	26.5583119	3.9609003
0.208333	33.2305434	3.9700899
0.229167	40.8089143	3.9766181
0.25	48.9206281	3.9805058
0.270833	57.9139909	3.9819364
0.291667	68.3876529	3.9809648
0.3125	79.7484062	3.9861287
0.333333	91.1200441	3.9873538
0.354167	103.0059771	3.9938711
0.375	114.0674050	4.0000117
0.395833	123.8390135	4.0065063
0.416667	132.0486883	4.0143788
0.4375	138.8705826	4.0189147
0.458333	143.9237367	4.0213388
0.479167	147.3686982	4.0252794
0.5	148.4190575	4.0262708
