#q	Energy	Moment
0.000000	0.0000000	4.1893094
0.020833	0.1469414	4.1882319
0.041667	-0.0408170	4.1906138
0.0625	-0.3156521	4.1882378
0.083333	-0.3292577	4.1866014
0.104167	-0.7074961	4.1900891
0.125	-0.6966114	4.1927704
0.145833	0.0925186	4.2021679
0.166667	0.5986505	4.2142726
0.1875	1.8667010	4.2215480
0.208333	4.0517752	4.2294148
0.229167	7.0205373	4.2397898
0.25	10.5580174	4.2478623
0.270833	15.2819138	4.2570396
0.291667	21.0969869	4.2637593
0.3125	27.7855452	4.2719545
0.333333	34.5094786	4.2798648
0.354167	40.4796564	4.2883988
0.375	45.8049244	4.2955793
0.395833	50.9206649	4.3017760
0.416667	54.9724401	4.3066431
0.4375	58.6323714	4.3100039
0.458333	61.5793644	4.3142530
0.479167	63.4215752	4.3155605
0.5	63.7045735	4.3179434
