# q	Energy	Moment
0.000000	0.0000000	4.4122892
0.020833	-0.1251723	4.4093034
0.041667	-0.3319789	4.4057074
0.0625	-0.7755244	4.4081816
0.083333	-1.0938977	4.4075618
0.104167	-1.6544521	4.4094683
0.125	-2.2531026	4.4141195
0.145833	-2.7646766	4.4142846
0.166667	-3.5810182	4.4134227
0.1875	-4.2721873	4.4172277
0.208333	-4.6640313	4.4225974
0.229167	-4.4354557	4.4291683
0.25	-3.3606059	4.4334154
0.270833	-1.4802993	4.4385506
0.291667	1.0041002	4.4505262
0.3125	3.8095940	4.4578944
0.333333	6.0817445	4.4632461
0.354167	8.2559343	4.4694671
0.375	10.2913460	4.4790260
0.395833	12.1335567	4.4856982
0.416667	14.1662472	4.4911486
0.4375	15.6329408	4.4953761
0.458333	16.3921384	4.5004813
0.479167	17.1458938	4.5021936
0.5	17.3499792	4.5024745
