# q	Energy	Moment
0.000000	0.0000000	4.1853978
0.020833	-0.1795951	4.1814216
0.041667	-0.1823163	4.1809962
0.0625	-0.0517016	4.1819356
0.083333	-0.2421814	4.1833446
0.104167	0.0625863	4.1781081
0.125	-0.0435382	4.1799096
0.145833	-0.0870765	4.1861024
0.166667	0.4136130	4.1925578
0.1875	1.4966263	4.2044656
0.208333	2.8599166	4.2082098
0.229167	4.9361452	4.2188276
0.25	7.8069464	4.2260279
0.270833	11.4124549	4.2358424
0.291667	15.4859991	4.2461045
0.3125	20.6452778	4.2565767
0.333333	25.8317679	4.2639568
0.354167	30.5910392	4.2718971
0.375	35.2115323	4.2819721
0.395833	39.7748815	4.2881090
0.416667	43.2280064	4.2936840
0.4375	46.1069709	4.2987457
0.458333	48.3600735	4.3016560
0.479167	49.5111151	4.3046212
0.5	49.7805079	4.3053584
