# q	Energy	Moment
0.000000	0.0000000	4.2320592
0.020833	-0.1224512	4.2323117
0.041667	-0.1904796	4.2355591
0.0625	-0.4898049	4.2324255
0.083333	-0.8000147	4.2360931
0.104167	-1.0394749	4.2431977
0.125	-1.1755317	4.2361587
0.145833	-1.6381254	4.2385359
0.166667	-1.8558163	4.2399574
0.1875	-1.7197594	4.2447630
0.208333	-1.4204342	4.2529595
0.229167	-0.3564691	4.2632585
0.25	1.3306368	4.2710663
0.270833	3.6272777	4.2780155
0.291667	6.7756350	4.2878751
0.3125	11.0505435	4.2963805
0.333333	16.3050619	4.3066024
0.354167	21.4888309	4.3183787
0.375	25.9705461	4.3260381
0.395833	30.7189327	4.3334839
0.416667	34.8768323	4.3391368
0.4375	37.6904895	4.3470927
0.458333	40.2374752	4.3518054
0.479167	41.1626622	4.3546527
0.5	41.5626696	4.3550104
		
