# q	Energy	Moment
0.000000	0.0000000	4.0496356
0.020833	-0.1006821	4.0485539
0.041667	0.1959221	4.0508211
0.0625	0.5333432	4.0509173
0.083333	0.9224660	4.0543812
0.104167	1.6245198	4.0586928
0.125	2.6422256	4.0619964
0.145833	4.0817078	4.0713921
0.166667	6.2341283	4.0778149
0.1875	8.7593448	4.0817142
0.208333	11.4532721	4.0910126
0.229167	15.2166066	4.0985683
0.25	19.6166876	4.1046282
0.270833	24.8385523	4.1134956
0.291667	30.4005594	4.1180238
0.3125	36.5721016	4.1245985
0.333333	43.3395729	4.1328000
0.354167	49.5111151	4.1388250
0.375	55.9710980	4.1449314
0.395833	61.7072579	4.1520950
0.416667	66.4093852	4.1580249
0.4375	70.5074199	4.1630842
0.458333	73.2258372	4.1649792
0.479167	75.2530854	4.1663330
0.5	75.7809863	4.1674713
