# q	Energy	Moment
0.000000	0.0000000	4.4028734
0.020833	-0.2258544	4.4061263
0.041667	-0.2530658	4.4087140
0.0625	-0.3619114	4.4098476
0.083333	-0.8245049	4.4111759
0.104167	-1.3469635	4.4088519
0.125	-1.6163561	4.4133077
0.145833	-2.3184098	4.4134226
0.166667	-3.3742117	4.4153374
0.1875	-3.9701410	4.4172860
0.208333	-4.4545036	4.4223421
0.229167	-4.7810403	4.4265330
0.25	-4.3483792	4.4347044
0.270833	-3.0585596	4.4420749
0.291667	-0.8381105	4.4475536
0.3125	1.5619335	4.4553467
0.333333	3.9293240	4.4625880
0.354167	5.7334389	4.4717095
0.375	7.5783708	4.4763030
0.395833	9.3307841	4.4831108
0.416667	10.7321704	4.4895663
0.4375	12.1770949	4.4946729
0.458333	12.8464949	4.4984674
0.479167	13.0070421	4.5000948
0.5	13.4859626	4.5004983
