# q	Energy	Moment
0.000000	0.0000000	4.2419788
0.020833	-0.2204123	4.2454709
0.041667	-0.2503447	4.2455871
0.0625	-0.3836805	4.2469939
0.083333	-0.3156521	4.2510677
0.104167	-0.5115740	4.2503855
0.125	-0.5823237	4.2503955
0.145833	-0.8081782	4.2522289
0.166667	-0.5659968	4.2527552
0.1875	-0.2476237	4.2584010
0.208333	0.5523912	4.2685259
0.229167	1.8422107	4.2741720
0.25	4.0381696	4.2855959
0.270833	6.7239332	4.2900493
0.291667	10.0790970	4.2977370
0.3125	14.5172740	4.3085223
0.333333	18.7976248	4.3186354
0.354167	22.7514390	4.3293983
0.375	26.3950435	4.3365625
0.395833	30.3053194	4.3437420
0.416667	33.4727248	4.3515023
0.4375	35.8047405	4.3567006
0.458333	37.5979707	4.3591446
0.479167	38.3734952	4.3617042
0.5	38.6891473	4.3621211
