# q	Energy	Moment
0.000000	0.0000000	4.4182214
0.020833	-0.0517016	4.4181122
0.041667	0.0136058	4.4176684
0.0625	0.1034033	4.4159170
0.083333	-0.4272186	4.4134637
0.104167	-0.9115814	4.4157198
0.125	-1.1728107	4.4177147
0.145833	-1.8340473	4.4186449
0.166667	-2.7728401	4.4207893
0.1875	-3.6299987	4.4198814
0.208333	-4.7347810	4.4240380
0.229167	-5.3034989	4.4286051
0.25	-5.5157478	4.4323786
0.270833	-5.1293459	4.4418782
0.291667	-3.4531247	4.4461050
0.3125	-1.4775782	4.4553819
0.333333	0.3809595	4.4641704
0.354167	1.9945947	4.4741872
0.375	3.6055087	4.4814082
0.395833	4.9579145	4.4862987
0.416667	6.0246008	4.4917008
0.4375	6.9769992	4.4952313
0.458333	7.4586406	4.4973628
0.479167	7.8423213	4.4995071
0.5	7.9266764	4.5012290
