# q	Energy	Moment
0.000000	0.0000000	4.2454949
0.020833	0.1605472	4.2444882
0.041667	0.1523839	4.2418215
0.0625	0.1714318	4.2371164
0.083333	-0.1061244	4.2389901
0.104167	-0.2095277	4.2396803
0.125	-0.4381033	4.2452617
0.145833	-0.5061317	4.2439473
0.166667	-0.7728033	4.2514788
0.1875	-0.7047747	4.2582933
0.208333	-0.1197300	4.2655719
0.229167	1.1102246	4.2701615
0.25	2.7293019	4.2728067
0.270833	5.0259429	4.2789872
0.291667	8.4110392	4.2878935
0.3125	11.9675672	4.2957958
0.333333	15.7880456	4.3063088
0.354167	19.5949185	4.3138644
0.375	23.5895497	4.3233071
0.395833	26.6345038	4.3353094
0.416667	29.4236708	4.3420631
0.4375	32.0414060	4.3458176
0.458333	33.4319078	4.3484346
0.479167	34.5339688	4.3502181
0.5	35.2251381	4.3524996
