#q	Energy	Moment
0.000000	0.0000000	4.2027687
0.020833	-0.1006821	4.2017505
0.041667	-0.1387781	4.1991473
0.0625	-0.5442277	4.2017731
0.083333	-0.7428709	4.1999139
0.104167	-0.9469563	4.1990074
0.125	-0.8870912	4.2023482
0.145833	-0.4353823	4.2100489
0.166667	-0.0081635	4.2199061
0.1875	0.8979756	4.2297215
0.208333	2.9225026	4.2358702
0.229167	5.6381990	4.2481959
0.25	9.0096895	4.2565316
0.270833	13.4669144	4.2649698
0.291667	19.1676995	4.2715825
0.3125	25.7229221	4.2791951
0.333333	32.2971929	4.2882694
0.354167	38.1694098	4.2970054
0.375	43.4538606	4.3040758
0.395833	48.4879670	4.3106512
0.416667	52.2513015	4.3156064
0.4375	55.9302808	4.3183102
0.458333	58.9262542	4.3231524
0.479167	60.7603016	4.3246769
0.5	60.9725505	4.3268504
